input,p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
5000000,48,100, ,#pragma omp parallel for,8,96,20,scatter,sockets,4.6142,6740.078334569931
5000000,48,200, ,#pragma omp parallel for,16,128,200,compact,cores,4.62711,6834.150582551956
5000000,48,100, ,#pragma omp parallel for,64,96,20,scatter,cores,4.608055,6864.621918439865
5000000,48,1600,#pragma clang loop unrolling full, ,256,2,20,compact,cores,4.7847349999999995,6895.166219472885
5000000,48,400,#pragma clang loop unrolling full, ,128,32,40,compact,cores,4.650555,6925.189899921417
5000000,32,1000,#pragma clang loop unrolling full, ,256,2,80,compact,sockets,4.685755,6955.677840948105
5000000,48,400,#pragma clang loop unrolling full,#pragma omp parallel for,2,64,64,explicit,cores,4.632675,6986.634293794632
5000000,48,100,#pragma clang loop unrolling full, ,2,16,20,explicit,cores,4.654805,7017.109852313995
5000000,48,100,#pragma clang loop unrolling full, ,4,4,10,none,cores,4.606505,7047.421829462051
5000000,48,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,64,balanced,cores,4.632155,7077.954114675522
5000000,192,400,#pragma clang loop unrolling full, ,8,2,160,explicit,cores,4.762285,7108.422336816788
5000000,256,1600, ,#pragma omp parallel for,4,16,128,compact,cores,5.071669999999999,7140.582343578339
5000000,48,640, ,#pragma omp parallel for,128,128,128,compact,sockets,4.684794999999999,7171.658342599869
5000000,192,640,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,200,explicit,cores,4.858775,7267.594767570496
5000000,256,100, ,#pragma omp parallel for,2,256,128,compact,cores,4.689565,7355.413071155548
5000000,96,2000,#pragma clang loop unrolling full, ,8,2,40,disabled,sockets,4.897545,7387.626057386398
5000000,256,100, ,#pragma omp parallel for,32,8,160,compact,sockets,4.680415,7418.9063885211945
5000000,96,1600,#pragma clang loop unrolling full, ,96,96,128,compact,cores,4.888985,7504.539216756821
5000000,96,2000,#pragma clang loop unrolling full, ,16,16,40,scatter,cores,4.871824999999999,7536.090455055237
5000000,96,1280,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,40,scatter,cores,4.74456,7567.170023679733
5000000,96,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,2,160,balanced,cores,4.838535,7598.830167770386
5000000,96,2000,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,40,scatter,cores,4.986090000000001,7630.522214651108
5000000,128,800, , ,96,256,100,explicit,cores,4.924795,7661.526247501373
