p0,p1,p2,p3,p4,p5,p6,p7,exe_time,density
8,80, ,#pragma omp parallel for,8,4,sockets,balanced,3.8534100000000002,298.35082147770794
8,80, ,#pragma omp parallel for,8,4,sockets,balanced,3.85663,298.35082147770794
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,96,4,sockets,balanced,3.86101,297.6496750504698
8,40, ,#pragma omp parallel for,4,96,sockets,balanced,3.8610100000000003,295.6147474090516
8,80, ,#pragma omp parallel for,64,32,cores,balanced,3.84999,292.5872106112792
8,80, ,#pragma omp parallel for,64,32,cores,balanced,3.85378,292.5872106112792
8,80, ,#pragma omp parallel for,64,32,cores,balanced,3.86127,292.5872106112792
8,80, ,#pragma omp parallel for,64,32,cores,balanced,3.855785,292.5872106112792
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,8,16,cores,balanced,4.39027,291.9170815481597
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,cores,balanced,4.395005,291.66447324461797
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,sockets,balanced,3.8482700000000003,290.8863956478408
8,200, ,#pragma omp parallel for,32,2,sockets,balanced,3.8522,290.83953227371
8,200, ,#pragma omp parallel for,32,2,sockets,balanced,3.85034,290.83953227371
8,200, ,#pragma omp parallel for,4,32,sockets,balanced,3.848705,290.17026527019453
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,cores,balanced,4.387195,289.83763907612797
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,cores,balanced,4.402915,289.83763907612797
8,80, ,#pragma omp parallel for,4,4,sockets,balanced,3.846955,288.30602943667566
8,80, ,#pragma omp parallel for,4,4,sockets,balanced,3.85637,288.30602943667566
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,64,32,cores,balanced,3.85419,288.1440906881739
8,40, ,#pragma omp parallel for,64,2,sockets,balanced,3.86668,287.7269030417729
8,40, ,#pragma omp parallel for,64,8,sockets,balanced,3.869825,285.9740971249806
8,40, ,#pragma omp parallel for,64,8,sockets,balanced,3.8697600000000003,285.9740971249806
8,80, ,#pragma omp parallel for,8,2,sockets,balanced,3.85468,282.82191678837177
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,cores,balanced,3.85969,282.0280423589424
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,sockets,balanced,3.8650149999999996,277.97107365029797
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,sockets,balanced,3.861545,277.97107365029797
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,sockets,balanced,3.866085,277.97107365029797
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,cores,balanced,3.85399,277.38784862593394
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,96,32,sockets,balanced,3.855715,275.7891165671786
8,40, ,#pragma omp parallel for,64,16,cores,balanced,3.8621999999999996,275.76657106179266
8,40, ,#pragma omp parallel for,2,16,cores,balanced,3.862235,275.6322290952774
8,100, ,#pragma omp parallel for,32,4,cores,balanced,3.85147,275.1564869073075
8,100, ,#pragma omp parallel for,32,4,cores,balanced,3.857695,275.1564869073075
8,100, ,#pragma omp parallel for,32,4,cores,balanced,3.85388,275.1564869073075
8,100, ,#pragma omp parallel for,32,8,cores,balanced,3.860235,271.53684554766033
8,64, ,#pragma omp parallel for,32,64,threads,balanced,3.8583600000000002,270.79269736893986
8,64, ,#pragma omp parallel for,32,64,threads,balanced,3.86293,270.79269736893986
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,cores,balanced,4.53505,270.79269736703117
8,64,#pragma clang loop unrolling full, ,32,128,sockets,balanced,3.8623149999999997,270.7926973351638
8,64,#pragma clang loop unrolling full, ,32,128,sockets,balanced,3.86074,270.7926973351638
8,64, ,#pragma omp parallel for,256,128,sockets,balanced,3.8559599999999996,270.7926973349733
8,40, ,#pragma omp parallel for,32,32,threads,balanced,3.860425,269.9523358350301
8,40, ,#pragma omp parallel for,256,96,sockets,balanced,3.86855,269.9523357219546
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,cores,balanced,4.394690000000001,269.37017610930275
8,80, ,#pragma omp parallel for,2,32,cores,balanced,3.85281,268.0257015812265
8,40, ,#pragma omp parallel for,32,32,sockets,balanced,3.8581950000000003,266.1295613243456
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,sockets,balanced,4.392335,264.69994616723534
8,80, ,#pragma omp parallel for,32,96,sockets,balanced,3.85576,261.3092387769739
