input,p0,p1,p2,p3,p4,p5,objective,elapsed_sec
1000000,2,threads,spread, ,simd, ,0.11582,3421.2488560676575
1000000,8,cores,spread, ,simd, ,0.103695,3494.242600917816
1000000,2,sockets,spread, ,simd, ,0.11496999999999999,3701.0483679771423
1000000,32,sockets,master, ,simd,"schedule(static,2)",0.10078000000000001,3738.086243867874
1000000,4,threads,master, ,simd, ,0.10256,3861.37784743309
1000000,2,threads,close,#pragma omp parallel for,simd, ,0.10175000000000001,4002.6832070350647
1000000,2,cores,close,#pragma omp parallel for,simd, ,0.10882,4112.2290461063385
1000000,2,threads,master, ,simd, ,0.1002,4148.246455907822
1000000,2,sockets,master, ,simd,"schedule(static,2)",0.10067499999999999,4350.318688631058
1000000,4,cores,close, ,simd, ,0.10678,4455.013076066971
1000000,2,threads,close, ,simd, ,0.11196500000000001,4683.084126234055
1000000,2,cores,master,#pragma omp parallel for,simd, ,0.10642,4828.272181749344
1000000,16,cores,close, ,simd, ,0.09994,4948.012113332748
1000000,2,sockets,spread,#pragma omp parallel for,simd, ,0.102565,5031.953257322311
1000000,8,sockets,close, ,simd, ,0.11446,5094.0094084739685
1000000,4,sockets,close, ,simd, ,0.11211,5130.755009889603
1000000,2,threads,spread,#pragma omp parallel for,simd, ,0.10838500000000001,5289.6487448215485
1000000,2,cores,close, ,simd,"schedule(static,1)",0.10205,5326.046322345734
1000000,4,threads,close,#pragma omp parallel for,simd, ,0.10280500000000001,5472.772743940353
1000000,16,sockets,close, ,simd, ,0.114415,5739.16131567955
1000000,4,sockets,spread, ,simd, ,0.110265,5887.556195259094
1000000,4,threads,spread, ,simd, ,0.116645,6063.940911054611
1000000,16,cores,close,#pragma omp parallel for,simd, ,0.111415,6330.250085115433
1000000,4,cores,spread, ,simd, ,0.11609,6471.308032512665
1000000,4,sockets,close,#pragma omp parallel for,simd, ,0.10747999999999999,6546.682450294495
1000000,21,cores,close, , , ,0.11085,6588.414125442505
1000000,4,cores,close, , , ,0.09904,6630.274216175079
1000000,42,cores,close,#pragma omp parallel for,simd, ,0.109045,6667.93642783165
1000000,4,threads,master,#pragma omp parallel for,simd, ,0.11331,6814.0698573589325
1000000,4,sockets,master, ,simd, ,0.109485,7056.363002538681
1000000,2,cores,close,#pragma omp parallel for,simd,"schedule(static,2)",0.11640500000000001,7180.830636501312
1000000,4,sockets,close,#pragma omp parallel for, ,"schedule(static,1)",0.09891,7222.344122886658
1000000,4,sockets,master,#pragma omp parallel for,simd, ,0.11295,7262.381476640701
1000000,4,cores,master,#pragma omp parallel for,simd, ,0.10692499999999999,7377.901827573776
1000000,4,cores,spread,#pragma omp parallel for,simd, ,0.11099999999999999,7484.044004440308
1000000,16,threads,close, ,simd, ,0.104735,7601.972833871841
1000000,8,threads,master, ,simd, ,0.10772999999999999,7751.115581989288
1000000,4,threads,spread,#pragma omp parallel for,simd, ,0.105765,7862.950896978378
1000000,4,sockets,spread,#pragma omp parallel for,simd, ,0.11024500000000001,7916.002234220505
1000000,8,cores,spread,#pragma omp parallel for,simd, ,0.09983,7976.237565279007
1000000,2,cores,close,#pragma omp parallel for,simd,"schedule(static,4)",0.11679,8137.2288138866425
