p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,t0,t1,t2,t3,t4,objective,elapsed_sec
 , , ,50,80,64, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,2.751418316598759e-09,669.0126347541809
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,100,256,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,180,190,200,210,220,0.0819450346914201,669.0279633998871
 , , ,50,2048,4, , , , ,800,900,1000,1100,1200,0.4363663244934826,669.042587518692
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,64,128, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,2.738869669130925e-09,727.3802363872528
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0103106930379222,727.3963785171509
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,0.4356224451243884,727.4133627414703
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,2.738224780348339e-09,765.5606656074524
 , , ,128,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0171912810517775,765.577472448349
 , , ,32,16,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,800,900,1000,1100,1200,0.9345661990842882,765.5931701660156
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,2048,256,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,2.7491060537354155e-09,801.2312250137329
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0085812113013372,801.2479023933411
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,800,900,1000,1100,1200,0.8360914884363219,801.2636992931366
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,32,128,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,2.746114970424381e-09,852.218457698822
 , , ,16,32,8, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.018613062357411,852.235689163208
 , , ,20,100,8, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,1.494035081155607,852.2520875930786
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,256, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,2.737412919371611e-09,914.8957295417786
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0091164889585253,914.9133627414705
 , , ,80,8,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,0.7287995581486579,914.9299440383912
 , , ,80,100,128,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,40,50,60,70,80,2.747085466579902e-09,957.2384796142578
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,180,190,200,210,220,0.0100121720252173,957.2566659450532
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,800,900,1000,1100,1200,1.5383038162735474,957.2738499641418
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,50, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,40,50,60,70,80,2.7372999003888527e-09,1012.3358926773072
 , , ,4,50,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0102615459566672,1012.3546392917632
 , , ,4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,800,900,1000,1100,1200,0.342939069968576,1012.3725628852844
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,80,100, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,2.739365874873173e-09,1086.0500984191897
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,50,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,180,190,200,210,220,0.0086510952663498,1086.0692205429075
 , , ,64,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,800,900,1000,1100,1200,0.7032221245358263,1086.087391614914
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,16,50,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,40,50,60,70,80,2.7462777389779055e-09,1158.725651025772
 , , ,4,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,180,190,200,210,220,0.007919528477831,1158.7466266155243
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,8,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,800,900,1000,1100,1200,1.12783729017844,1158.7656862735748
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,2.736178754643442e-09,1225.8809757232666
 , , ,4,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,180,190,200,210,220,0.0074284420309749,1225.9007105827332
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,128,32, , , , ,800,900,1000,1100,1200,4.863808290998037,1225.920007944107
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,2.740004794014919e-09,1287.29203748703
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,100,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.007645954378789,1287.3122146129608
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,128,128,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,800,900,1000,1100,1200,9.148267022231082,1287.3317246437073
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,2048,80, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,2.745254013296932e-09,1379.981966495514
 , , ,20,128,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0073859154041717,1380.0025522708893
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,2048,20,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,0.862314333575668,1380.022705078125
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,32, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,2.7403755090627875e-09,1430.1104769706726
 , , ,80,16,32,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0524743829620934,1430.1316711902618
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,4,32,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,6.520331407728292,1430.1522841453552
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,50,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,2.7415850037701762e-09,1487.0618937015531
