p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 , ,16,64,20,1200,1400,0.1894705,1762.950583934784
 , ,8,80,16,1200,1400,1.546679,1775.8392555713654
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,20,4,1200,1400,0.3656855,1787.1272549629211
 , ,8,2048,4,1200,1400,0.163955,1796.2842478752136
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,32,4,1200,1400,0.3384089999999999,1808.0385847091677
 , ,16,2048,20,1200,1400,0.172441,1820.6721975803375
 , ,8,80,20,1200,1400,0.1944745,1834.0051009655
 , ,4,64,20,1200,1400,0.208282,1847.767465591431
 , ,50,2048,16,1200,1400,1.5082875,1860.1585063934328
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,16,4,1200,1400,0.406119,1871.8588697910309
 , ,80,8,16,1200,1400,1.574801,1885.3110702037811
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,4,1200,1400,0.4323749999999999,1895.2872354984283
#pragma clang loop(j2) pack array(data) allocate(malloc), ,50,2048,4,1200,1400,0.3229745,1906.2002263069153
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,4,1200,1400,0.455122,1917.4512050151825
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,4,1200,1400,0.490025,1929.2043316364288
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,8,1200,1400,0.4597345,1939.723960161209
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,1200,1400,0.449028,1950.9000663757324
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,4,1200,1400,0.4205529999999999,1960.7591688632965
 , ,100,4,32,1200,1400,2.2819005,1976.2824931144712
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,80,20,1200,1400,0.9174255,1990.3104765415192
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,20,1200,1400,0.8054209999999999,2004.465168714523
 , ,20,2048,8,1200,1400,0.158162,2014.167158603668
 , ,50,4,8,1200,1400,2.2180595,2030.0831229686737
 , ,8,2048,8,1200,1400,0.164904,2041.5472750663755
 , ,128,128,8,1200,1400,0.1551705,2052.2050080299377
 , ,4,2048,4,1200,1400,0.1697675,2065.5582723617554
 , ,96,128,8,1200,1400,0.155542,2075.845855474472
 , ,16,2048,4,1200,1400,0.1591544999999999,2085.1946833133698
 , ,50,128,4,1200,1400,0.151681,2094.8265726566315
 , ,50,2048,4,1200,1400,0.154459,2103.7669517993927
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,20,1200,1400,0.8437265,2118.1431143283844
 , ,80,4,4,1200,1400,2.0565395,2133.122585773468
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,4,1200,1400,0.8118460000000001,2146.4314303398132
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,128,16,1200,1400,2.1108005,2163.899260520935
 , ,50,16,16,1200,1400,1.570371,2176.857908964157
 , ,50,8,8,1200,1400,2.172882,2192.9506459236145
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,8,1200,1400,0.482203,2203.85924744606
 , ,50,4,16,1200,1400,1.620236,2217.270391225815
 , ,8,64,4,1200,1400,0.16659,2227.059703111649
 , ,4,2048,16,1200,1400,1.6066485,2240.7992911338806
 , ,100,128,4,1200,1400,0.151423,2250.2959249019623
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,100,4,1200,1400,0.3010875,2261.614269256592
#pragma clang loop(j2) pack array(data) allocate(malloc), ,50,128,16,1200,1400,1.884932,2276.4999527931213
 , ,4,100,8,1200,1400,0.178442,2286.6865050792694
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,8,1200,1400,0.4705605,2297.4472467899323
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,8,1200,1400,0.4035525,2307.880844116211
 , ,100,4,4,1200,1400,2.0620315,2323.0308492183685
 , ,4,128,32,1200,1400,2.2756375,2339.7423465251923
 , ,16,64,4,1200,1400,0.1559499999999999,2349.170489549637
 , ,16,50,4,1200,1400,0.1663465,2358.6186888217926
 , ,16,100,4,1200,1400,0.154467,2368.123430252075
 , ,20,100,4,1200,1400,0.1538155,2377.6715970039368
 , ,32,64,4,1200,1400,0.1533235,2387.7235853672028
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,128,4,1200,1400,0.297077,2399.010557413101
 , ,50,4,4,1200,1400,2.0630925,2413.962947845459
 , ,4,8,20,1200,1400,2.357041,2432.8521094322205
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,32,1200,1400,2.2664715,2447.6950240135193
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,20,1200,1400,0.601719,2460.3302249908447
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,20,1200,1400,0.5983835,2472.4270725250244
 , ,4,50,20,1200,1400,0.2322525,2486.1276240348816
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,20,1200,1400,0.601567,2498.927271127701
 , ,4,20,32,1200,1400,2.2799325,2515.6626739501953
 , ,4,64,32,1200,1400,2.2703075,2532.21572470665
 , ,8,20,20,1200,1400,0.2381345,2545.7154071331024
 , ,4,4,16,1200,1400,1.663999,2560.3149728775024
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,4,4,1200,1400,0.8789595,2572.8825855255127
 , ,96,128,20,1200,1400,0.1777015,2586.490742921829
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,20,4,1200,1400,0.3648525,2598.2095532417297
 , ,8,64,20,1200,1400,0.196042,2611.3714344501495
 , ,16,100,20,1200,1400,0.18467,2624.711203813553
 , ,96,100,20,1200,1400,0.17703,2638.2385110855103
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,32,1200,1400,2.213013,2653.235192298889
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,8,1200,1400,0.4485274999999999,2663.9322769641876
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,8,1200,1400,0.4385259999999999,2674.0642302036285
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,20,1200,1400,0.805424,2688.7006595134735
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,8,1200,1400,0.444987,2699.058862924576
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,8,1200,1400,0.403766,2709.500333547592
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,2048,4,1200,1400,0.326732,2720.519111394882
