p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,2,32,threads,compact,0.324365,1815.0738422870636
5,20,#pragma clang loop unrolling full,#pragma omp parallel for,2,64,cores,none,0.46384499999999995,1830.9905309677124
4,20,#pragma clang loop unrolling full, ,128,96,threads,balanced,0.465125,1846.9903538227081
3,200,#pragma clang loop unrolling full, ,64,8,threads,none,0.736785,1863.1144225597382
7,160, ,#pragma omp parallel for,64,96,sockets,explicit,0.31581000000000004,1879.320541858673
2,128, ,#pragma omp parallel for,16,8,cores,compact,0.921705,1896.990632534027
2,20, , ,2,128,sockets,disabled,1.1542050000000001,1914.9901039600372
3,100,#pragma clang loop unrolling full, ,2,64,cores,balanced,0.616835,1930.990511417389
7,80,#pragma clang loop unrolling full, ,32,2,threads,compact,0.43866,1946.9906597137451
5,100, , ,8,128,threads,scatter,0.417505,1962.9905772209167
5,20, ,#pragma omp parallel for,2,2,sockets,explicit,0.43994500000000003,1979.1137433052063
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,sockets,scatter,0.269875,1994.9905064105988
3,10,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,sockets,none,0.7392350000000001,2011.362319469452
5,20,#pragma clang loop unrolling full, ,96,8,cores,disabled,0.43952,2026.9899291992188
7,40, ,#pragma omp parallel for,256,32,threads,disabled,0.30079,2042.9908003807068
7,200,#pragma clang loop unrolling full,#pragma omp parallel for,2,64,cores,explicit,0.31794500000000003,2058.9898426532745
6,200, , ,8,2,threads,scatter,0.357245,2074.9906389713287
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,threads,disabled,0.27671999999999997,2090.990735769272
2,200,#pragma clang loop unrolling full, ,16,64,threads,balanced,1.068425,2108.99063372612
6,100,#pragma clang loop unrolling full, ,2,256,sockets,balanced,0.405585,2124.989610671997
5,100, , ,96,96,sockets,explicit,0.5108699999999999,2140.990021944046
4,10,#pragma clang loop unrolling full,#pragma omp parallel for,256,16,sockets,scatter,0.54497,2156.990469455719
2,160,#pragma clang loop unrolling full, ,128,64,cores,scatter,1.065275,2174.990552186966
8,160, , ,8,256,cores,explicit,0.24372,2190.99107670784
5,100, , ,32,16,cores,none,0.403675,2206.9900863170624
5,160,#pragma clang loop unrolling full, ,64,128,threads,balanced,0.378285,2222.9906215667725
8,128, ,#pragma omp parallel for,256,8,sockets,explicit,0.277165,2238.9904210567474
2,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,none,0.9597,2257.4443683624268
6,160, , ,8,32,threads,explicit,0.36538,2272.9904913902283
8,10, ,#pragma omp parallel for,8,256,sockets,balanced,0.23406,2288.9905936717987
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,sockets,disabled,0.26963000000000004,2304.990810394287
8,20,#pragma clang loop unrolling full, ,64,32,threads,disabled,0.26797499999999996,2320.9893522262573
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,none,0.291475,2336.9905622005463
2,80, ,#pragma omp parallel for,32,2,cores,balanced,0.936415,2354.990503311157
3,64,#pragma clang loop unrolling full, ,128,32,cores,compact,0.61697,2370.990823984146
3,20, , ,128,96,sockets,balanced,0.625245,2386.9899122714996
3,160, , ,256,128,threads,none,0.68325,2403.52654337883
7,80, ,#pragma omp parallel for,32,256,cores,compact,0.31240999999999997,2418.99059176445
8,200, ,#pragma omp parallel for,256,8,cores,balanced,0.23111500000000001,2434.990231513977
3,200, , ,4,8,threads,scatter,0.689245,2451.362462282181
7,128, ,#pragma omp parallel for,2,96,cores,compact,0.31355500000000003,2466.9886507987976
2,64,#pragma clang loop unrolling full, ,16,2,cores,explicit,1.07555,2484.9904432296753
3,200,#pragma clang loop unrolling full, ,2,4,threads,explicit,0.72221,2501.1142168045044
8,80, ,#pragma omp parallel for,16,2,cores,compact,0.29111,2516.989205598831
2,80, ,#pragma omp parallel for,32,64,sockets,explicit,1.092895,2534.9905602931976
5,40, , ,96,4,sockets,scatter,0.42068,2550.990316390991
3,80, ,#pragma omp parallel for,8,256,threads,compact,0.809895,2567.5273649692535
4,80, , ,16,4,threads,explicit,0.4985,2582.990315914154
8,200, , ,2,128,threads,scatter,0.26829000000000003,2598.9905667304993
5,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,sockets,none,0.47184,2614.990742444992
5,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,cores,balanced,0.369425,2630.990151643753
3,40, , ,2,16,cores,balanced,0.6239250000000001,2646.9910576343536
6,10, ,#pragma omp parallel for,256,32,threads,none,0.37455499999999997,2662.9892921447754
2,20,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,sockets,explicit,1.074185,2680.9902493953705
3,20, ,#pragma omp parallel for,16,96,threads,none,0.701765,2697.3203349113464
7,40,#pragma clang loop unrolling full, ,96,4,cores,disabled,0.28122,2712.990315437317
5,100, ,#pragma omp parallel for,128,2,sockets,explicit,0.42662500000000003,2728.990634202957
5,128, ,#pragma omp parallel for,2,256,sockets,compact,0.55006,2745.361210823059
2,100, , ,2,128,threads,balanced,0.9357249999999999,2762.990960121155
3,160,#pragma clang loop unrolling full, ,256,128,cores,balanced,0.61978,2778.9905519485474
7,128, , ,32,16,cores,scatter,0.30278499999999997,2794.99040722847
4,200,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,threads,scatter,0.5411999999999999,2811.1968219280243
8,100,#pragma clang loop unrolling full, ,64,8,cores,explicit,0.27505999999999997,2826.990622520447
2,64, , ,16,2,threads,balanced,0.939165,2844.990260362625
5,40,#pragma clang loop unrolling full, ,32,96,threads,none,0.41817499999999996,2860.9894948005676
5,100,#pragma clang loop unrolling full, ,32,8,sockets,explicit,0.440585,2876.9899351596832
6,128,#pragma clang loop unrolling full, ,2,128,sockets,explicit,0.356365,2892.9904832839966
7,128,#pragma clang loop unrolling full, ,8,16,sockets,none,0.30039000000000005,2908.9902539253235
5,100, ,#pragma omp parallel for,32,64,sockets,explicit,0.448675,2924.990404844284
8,10, ,#pragma omp parallel for,256,32,cores,scatter,0.27735,2940.9918076992035
6,128,#pragma clang loop unrolling full,#pragma omp parallel for,8,4,sockets,explicit,0.358915,2957.155536174774
5,200,#pragma clang loop unrolling full, ,16,128,cores,explicit,0.443665,2972.9903898239136
5,100,#pragma clang loop unrolling full, ,2,2,sockets,disabled,0.4691,2988.9907944202423
4,200,#pragma clang loop unrolling full, ,128,8,sockets,scatter,0.537045,3004.9901559352875
4,200, , ,64,128,sockets,compact,0.53674,3020.990860939026
5,64, , ,8,96,threads,balanced,0.38719000000000003,3036.991200685501
4,160,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,cores,disabled,0.5339400000000001,3053.155157327652
5,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,threads,compact,0.46833,3069.4436509609222
4,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,32,sockets,scatter,0.5507,3086.990296602249
2,10, ,#pragma omp parallel for,4,256,sockets,scatter,1.1109550000000001,3104.9902653694153
8,100,#pragma clang loop unrolling full, ,256,4,cores,disabled,0.234825,3120.99049949646
6,200,#pragma clang loop unrolling full,#pragma omp parallel for,128,128,sockets,scatter,0.36463500000000004,3136.9906480312347
3,160, , ,32,256,cores,disabled,0.680585,3153.196370124817
2,200, , ,4,8,sockets,explicit,1.1672150000000001,3171.361037015915
5,200, , ,2,4,sockets,disabled,0.40283,3186.990435361862
3,80, ,#pragma omp parallel for,64,96,cores,none,0.7508349999999999,3204.9892525672913
8,40, ,#pragma omp parallel for,16,16,threads,disabled,0.275175,3220.9902119636536
7,100, , ,96,4,sockets,balanced,0.264015,3236.990443468094
4,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,scatter,0.5419350000000001,3253.2790443897247
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,96,96,sockets,disabled,0.24789499999999998,3268.990482568741
7,40,#pragma clang loop unrolling full, ,256,96,sockets,balanced,0.26355,3284.9897952079773
