p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
8,80, , ,16,4,threads,balanced,0.489,2628.174366235733
8,200,#pragma clang loop unrolling full,#pragma omp parallel for,16,16,cores,balanced,0.547,2646.8098981380463
8,200, , ,16,16,cores,balanced,0.5825,2665.466955423355
8,128,#pragma clang loop unrolling full, ,16,16,threads,balanced,0.406,2684.155015230179
8,160, , ,16,32,cores,balanced,0.5745,2702.7916629314423
8,20,#pragma clang loop unrolling full, ,16,16,cores,balanced,0.504,2721.4255096912384
8,128, , ,16,64,cores,balanced,0.448,2740.1023902893066
8,128, , ,64,8,cores,balanced,0.583,2758.752373933792
4,160, ,#pragma omp parallel for,64,32,cores,explicit,0.9445,2779.423172235489
8,128, , ,16,16,cores,explicit,0.4885,2798.0802943706512
7,160,#pragma clang loop unrolling full,#pragma omp parallel for,4,128,sockets,scatter,0.5475000000000001,2816.7778697013855
8,40, , ,16,2,threads,balanced,0.395,2835.4437370300293
8,80, , ,16,2,cores,balanced,0.4085,2854.098930835724
8,200, , ,32,2,threads,balanced,0.395,2872.762460231781
8,200, , ,32,2,cores,balanced,0.3985,2891.4609529972076
8,100, , ,256,2,threads,balanced,0.5845,2910.1648478507996
8,128, , ,96,2,cores,balanced,0.396,2928.845915079117
7,160, , ,4,128,threads,disabled,0.4685,2947.5587525367737
8,128, , ,128,2,threads,balanced,0.393,2964.7717776298523
8,128, ,#pragma omp parallel for,4,2,cores,balanced,0.3915,2983.46231842041
8,10, , ,64,2,cores,balanced,0.596,3002.1501290798187
8,128, , ,4,2,cores,balanced,0.392,3020.845378637314
8,40, ,#pragma omp parallel for,96,2,threads,balanced,0.394,3038.0378153324127
8,128, ,#pragma omp parallel for,4,2,threads,compact,0.7084999999999999,3057.031337738037
8,128, ,#pragma omp parallel for,4,2,threads,balanced,0.396,3075.737778186798
8,128, , ,128,2,cores,balanced,0.5834999999999999,3094.3888895511627
8,128, , ,2,2,cores,balanced,0.5595000000000001,3113.0619649887085
8,200, ,#pragma omp parallel for,96,2,threads,balanced,0.392,3131.7333760261536
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,threads,balanced,0.392,3150.4658930301666
8,128, , ,4,2,threads,balanced,0.3935,3169.120974779129
8,160, ,#pragma omp parallel for,4,2,threads,balanced,0.3945,3187.8313579559326
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,threads,explicit,0.504,3206.543013572693
8,200, , ,96,2,threads,balanced,0.3945,3225.2138652801514
8,160, ,#pragma omp parallel for,96,2,threads,balanced,0.392,3243.8784708976746
8,10,#pragma clang loop unrolling full, ,96,2,threads,balanced,0.5885,3262.550924062729
8,128, , ,96,2,threads,balanced,0.3955,3281.280062198639
8,80, , ,4,2,threads,balanced,0.3945,3299.961356163025
8,200, ,#pragma omp parallel for,8,2,threads,balanced,0.3955,3318.97465968132
8,40,#pragma clang loop unrolling full, ,96,2,threads,balanced,0.395,3337.7858934402466
8,64, ,#pragma omp parallel for,96,2,cores,balanced,0.547,3356.4470298290253
8,200, ,#pragma omp parallel for,64,2,threads,balanced,0.543,3375.109187602997
8,160,#pragma clang loop unrolling full, ,96,2,threads,balanced,0.6245,3393.8016169071198
8,200, ,#pragma omp parallel for,4,2,threads,explicit,0.47,3412.554218530655
8,20, , ,4,2,threads,balanced,0.3955,3431.2393023967743
8,40, , ,128,2,threads,balanced,0.4105,3449.9177322387695
8,20, ,#pragma omp parallel for,2,2,threads,balanced,0.3965,3468.8032648563385
8,40, , ,96,2,threads,balanced,0.395,3487.541241168976
8,200, ,#pragma omp parallel for,2,32,threads,balanced,0.392,3506.2128159999847
8,20, ,#pragma omp parallel for,96,2,threads,balanced,0.3965,3523.4608659744263
8,200, , ,128,32,threads,balanced,0.5455000000000001,3542.2181634902954
8,80, ,#pragma omp parallel for,4,2,threads,balanced,0.3965,3561.2902266979218
8,200, , ,2,2,threads,balanced,0.4565,3580.2891273498535
8,128,#pragma clang loop unrolling full, ,96,2,threads,balanced,0.562,3598.992957830429
8,64, , ,96,2,threads,balanced,0.3935,3616.379399061203
8,100, , ,4,2,threads,balanced,0.3935,3633.6373002529144
8,64, ,#pragma omp parallel for,32,2,threads,balanced,0.392,3650.875610589981
8,10, , ,4,2,threads,balanced,0.4075,3669.584712743759
8,40, , ,8,2,threads,balanced,0.402,3686.8895695209503
8,128, ,#pragma omp parallel for,32,2,threads,balanced,0.3945,3705.588376045227
8,100, ,#pragma omp parallel for,96,2,threads,scatter,0.489,3724.2792444229126
