p0,p1,p2,p3,p4,p5,p6,p7,exe_time,density
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,sockets,balanced,0.21902,323.10893715014646
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,cores,balanced,0.19198500000000002,320.88954724619697
8,80, ,#pragma omp parallel for,4,8,sockets,balanced,0.192135,319.2544908105015
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,cores,balanced,0.218965,317.90526215006685
8,40, ,#pragma omp parallel for,8,32,sockets,balanced,0.1931,316.099472850628
8,40, ,#pragma omp parallel for,16,2,cores,balanced,0.192495,312.07171329265793
8,64,#pragma clang loop unrolling full, ,4,96,sockets,balanced,0.192165,310.9344597976692
8,40, ,#pragma omp parallel for,8,2,cores,balanced,0.1923,308.07753005772696
8,40, ,#pragma omp parallel for,32,8,cores,balanced,0.19239499999999998,307.6758028131854
8,40, ,#pragma omp parallel for,16,32,sockets,balanced,0.192565,307.26111324564897
8,40, ,#pragma omp parallel for,8,8,cores,balanced,0.192605,305.9552375758113
8,40, ,#pragma omp parallel for,4,2,cores,balanced,0.19272499999999998,302.60202567565534
8,40, ,#pragma omp parallel for,2,64,sockets,balanced,0.19282,302.22976726154604
8,40, ,#pragma omp parallel for,2,64,sockets,balanced,0.19281500000000001,302.22976726154604
8,40, ,#pragma omp parallel for,4,8,cores,balanced,0.1925,300.5175348623304
8,40, ,#pragma omp parallel for,64,4,cores,balanced,0.19288,299.6176646165219
8,80, ,#pragma omp parallel for,8,4,sockets,balanced,0.19256,298.35082147770794
8,80, ,#pragma omp parallel for,8,4,sockets,balanced,0.19217,298.35082147770794
8,80, ,#pragma omp parallel for,8,4,sockets,balanced,0.19233499999999998,298.35082147770794
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,96,4,sockets,balanced,0.19283,297.6496750504698
8,40, ,#pragma omp parallel for,4,96,sockets,balanced,0.192775,295.6147474090516
8,80, ,#pragma omp parallel for,64,32,cores,balanced,0.192185,292.5872106112792
8,80, ,#pragma omp parallel for,64,32,cores,balanced,0.192185,292.5872106112792
8,80, ,#pragma omp parallel for,64,32,cores,balanced,0.192375,292.5872106112792
