p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,t0,t1,t2,t3,t4,objective,elapsed_sec
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,800,900,1000,1100,1200,0.4979926801303778,876.0778472423553
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,100,256, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,2.744494329165943e-09,941.4214072227478
 , , ,50,2048,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,180,190,200,210,220,0.0173695893941967,941.4405682086943
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,2048,8, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,800,900,1000,1100,1200,1.68370528917671,941.4589059352876
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,4,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,2.738340273450365e-09,997.8004212379456
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,32,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.010341087954734,997.8246307373048
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,8,20,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,1.6000135843974848,997.8435752391816
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,256, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,2.734584952078489e-09,1033.7694063186646
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,80,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0508813112547881,1033.789536237717
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,16,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,6.04443595866319,1033.8089635372162
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,80,100, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,2.7491405149931495e-09,1085.977278470993
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,80,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0096511024986618,1085.9977078437803
 , , ,100,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,1.6007138458011854,1086.0174293518066
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,32,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,40,50,60,70,80,2.739814378886627e-09,1136.9977188110352
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0123813332745945,1137.018408536911
 , , ,80,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,800,900,1000,1100,1200,0.3681502754944423,1137.0383913516998
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,2.739499647804333e-09,1182.1455283164978
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,100,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0093827923986973,1182.1670610904694
 , , ,50,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,800,900,1000,1100,1200,0.6049078860348839,1182.1875116825104
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,20,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,2.746515654199334e-09,1226.7502195835114
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,128,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,180,190,200,210,220,0.0112980535687627,1226.78035902977
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,100,4, , , , ,800,900,1000,1100,1200,0.4691738120825217,1226.8010742664335
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,2.739517670441387e-09,1264.6502838134766
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.007201652501096,1264.6751132011414
 , , ,80,20,16, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,800,900,1000,1100,1200,2.8687833135982057,1264.6972901821136
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,50, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,2.746209266789931e-09,1334.6339502334597
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,64,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0678201707935289,1334.6592328548431
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,50,16,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,800,900,1000,1100,1200,3.150921706696149,1334.6810772418976
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,20,64,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,2.743210640552749e-09,1371.7058458328247
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,64, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0692122636373441,1371.7313375473022
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,2048,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,800,900,1000,1100,1200,0.5722453575672442,1371.753882408142
 , , ,4,2048,256,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,40,50,60,70,80,2.744197351239743e-09,1488.577668428421
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,64,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0081188802616631,1488.6042342185974
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,64,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,800,900,1000,1100,1200,0.7178604094710108,1488.6271722316742
