p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,100,80,100,0.0011155,509.5119378566742
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,32,80,100,0.000789,517.2682583332062
 , ,50,64,20,80,100,7.950000000000001e-05,530.9791543483734
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,8,32,80,100,0.0009135,538.6710124015808
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,64,80,100,0.0009195,545.511125087738
 , ,50,32,32,80,100,0.0007155,552.707418680191
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,4,80,100,0.000129,559.9233376979828
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,100,80,100,0.001103,566.2429494857788
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,80,50,80,100,0.001122,572.7515227794647
 , ,32,16,256,80,100,0.001082,579.394936800003
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,64,80,100,0.000932,585.8043329715729
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,80,80,100,0.0009695,592.6067640781403
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,8,50,80,100,0.001168,600.2034015655518
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,16,80,100,0.0005545,607.5386893749237
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,128,80,100,0.0011605,613.707977771759
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,256,80,100,0.0010755,619.9846532344818
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,20,80,100,0.0002275,628.9789445400238
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,8,80,100,0.000334,636.2832615375519
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,20,80,100,0.0002005,645.9808878898621
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,256,80,100,0.0011285,654.9530115127563
 , ,128,100,64,80,100,0.000896,661.0719330310822
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,80,80,100,0.001034,670.966926574707
 , ,4,128,20,80,100,7.950000000000001e-05,680.9670050144196
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,128,80,100,0.001082,687.53497838974
 , ,4,32,128,80,100,0.001105,694.1227405071259
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,80,4,80,100,0.000125,702.0274653434753
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,128,128,80,100,0.00108,708.3683235645294
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,8,80,100,0.000387,715.6116480827332
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,32,100,80,100,0.0012525,722.7233319282532
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,64,80,80,100,0.00108,730.1229467391968
 , ,50,16,32,80,100,0.0007155,737.4562191963196
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,80,80,100,0.000959,744.3571217060089
 , ,8,32,16,80,100,0.00051,751.344654083252
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,4,80,100,0.0001255,762.1036465167999
