p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,t0,t1,t2,t3,t4,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,32,20,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,0.883498878917452,2288.873643875122
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,16, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,3.1091469322567296,2288.887798309326
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,16,100, , , , ,800,900,1000,1100,1200,9.72020946672567,2288.902060031891
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,4,256,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,8.770923872169854,2288.916393995285
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,80,80,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,800,900,1000,1100,1200,8.492427676975344,2288.930912733078
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,8,128, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,9.609377170494891,2288.945476770401
 , , ,100,64,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,800,900,1000,1100,1200,5.991656969714521,2288.960156917572
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,100,256,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,10.087091534826058,2288.9750010967255
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,800,900,1000,1100,1200,5.8045695858330575,2288.9899294376373
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,16,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),800,900,1000,1100,1200,0.8591039169195956,2289.0052070617676
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,50,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,800,900,1000,1100,1200,1.407180522330445,2289.0203812122345
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,100,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,40,50,60,70,80,2.738796817928018e-09,2388.219111442566
