p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
8,40, , ,16,4,threads,balanced,0.0395,2185.9540934562683
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,balanced,0.039,2202.651294231415
8,80,#pragma clang loop unrolling full, ,16,256,threads,balanced,0.04,2219.324547290802
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,sockets,balanced,0.039,2236.0486238002777
5,64, , ,16,32,sockets,balanced,0.062,2252.726840734482
8,80, ,#pragma omp parallel for,16,256,threads,balanced,0.039,2269.4145307540894
8,40, , ,16,8,threads,balanced,0.0395,2286.1391429901123
8,160, , ,16,64,cores,balanced,0.05,2302.8183426856995
8,10,#pragma clang loop unrolling full, ,16,256,threads,balanced,0.04,2319.5177800655365
8,128, ,#pragma omp parallel for,16,256,sockets,balanced,0.0395,2336.492169380188
8,20, , ,16,256,threads,balanced,0.04,2353.1999006271362
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,threads,balanced,0.055,2369.905241727829
8,40,#pragma clang loop unrolling full, ,16,96,threads,balanced,0.04,2386.5741324424744
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,sockets,balanced,0.0545,2403.5068864822388
7,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,cores,balanced,0.044,2420.210946559906
8,40,#pragma clang loop unrolling full, ,16,2,threads,balanced,0.039,2436.886404275894
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,sockets,balanced,0.055,2453.776148080826
8,64, ,#pragma omp parallel for,16,256,threads,balanced,0.055,2470.4831173419952
8,128, ,#pragma omp parallel for,16,128,threads,balanced,0.039,2487.316025018692
4,64, , ,4,32,threads,compact,0.092,2504.005522251129
8,40, , ,16,8,sockets,none,0.0415,2520.68638420105
8,10,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,threads,balanced,0.04,2537.4674940109253
8,128, ,#pragma omp parallel for,16,256,threads,balanced,0.039,2554.289329767227
8,40, ,#pragma omp parallel for,16,2,threads,balanced,0.039,2570.9799349308014
8,20, , ,16,256,sockets,balanced,0.052,2587.7249388694763
8,10,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,threads,balanced,0.055,2604.403566122055
8,200, ,#pragma omp parallel for,16,256,threads,balanced,0.039,2621.196409225464
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,threads,balanced,0.0545,2637.881247282028
8,100, ,#pragma omp parallel for,16,32,cores,balanced,0.039,2654.6335055828094
8,40, ,#pragma omp parallel for,16,96,sockets,balanced,0.039,2671.3689370155334
8,200,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,threads,balanced,0.0555,2688.3326268196106
8,20, ,#pragma omp parallel for,16,64,threads,balanced,0.039,2705.0577018260956
8,40, ,#pragma omp parallel for,16,32,threads,balanced,0.039,2721.7929470539093
8,40,#pragma clang loop unrolling full, ,16,128,cores,balanced,0.039,2738.5480790138245
8,80, , ,16,256,cores,balanced,0.039,2755.286363840103
8,100, ,#pragma omp parallel for,16,256,threads,balanced,0.0395,2772.060535430908
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,cores,balanced,0.054,2788.7937684059143
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,threads,balanced,0.039,2805.760036468506
8,200, ,#pragma omp parallel for,16,64,threads,explicit,0.056999999999999995,2822.9659943580627
8,200, ,#pragma omp parallel for,16,64,sockets,balanced,0.055,2840.0012514591217
