p0,p1,p2,p3,p4,p5,p6,p7,exe_time,density
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,cores,balanced,1.097705,289.83763907612797
8,80, ,#pragma omp parallel for,4,4,sockets,balanced,0.962465,288.30602943667566
8,80, ,#pragma omp parallel for,4,4,sockets,balanced,0.961485,288.30602943667566
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,64,32,cores,balanced,0.9619800000000001,288.1440906881739
8,40, ,#pragma omp parallel for,64,2,sockets,balanced,0.96382,287.7269030417729
8,40, ,#pragma omp parallel for,64,8,sockets,balanced,0.965485,285.9740971249806
8,40, ,#pragma omp parallel for,64,8,sockets,balanced,0.96554,285.9740971249806
8,80, ,#pragma omp parallel for,8,2,sockets,balanced,0.96159,282.82191678837177
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,cores,balanced,0.9670749999999999,282.0280423589424
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,sockets,balanced,0.96426,277.97107365029797
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,sockets,balanced,0.96635,277.97107365029797
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,sockets,balanced,0.96404,277.97107365029797
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,cores,balanced,0.962305,277.38784862593394
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,96,32,sockets,balanced,0.96318,275.7891165671786
8,40, ,#pragma omp parallel for,64,16,cores,balanced,0.9656,275.76657106179266
8,40, ,#pragma omp parallel for,2,16,cores,balanced,0.964935,275.6322290952774
8,100, ,#pragma omp parallel for,32,4,cores,balanced,0.96202,275.1564869073075
8,100, ,#pragma omp parallel for,32,4,cores,balanced,0.961555,275.1564869073075
8,100, ,#pragma omp parallel for,32,4,cores,balanced,0.9606950000000001,275.1564869073075
8,100, ,#pragma omp parallel for,32,8,cores,balanced,0.960635,271.53684554766033
8,64, ,#pragma omp parallel for,32,64,threads,balanced,0.963105,270.79269736893986
8,64, ,#pragma omp parallel for,32,64,threads,balanced,0.962685,270.79269736893986
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,cores,balanced,0.96272,270.79269736703117
8,64,#pragma clang loop unrolling full, ,32,128,sockets,balanced,0.96266,270.7926973351638
8,64,#pragma clang loop unrolling full, ,32,128,sockets,balanced,0.963465,270.7926973351638
8,64, ,#pragma omp parallel for,256,128,sockets,balanced,0.9629049999999999,270.7926973349733
8,40, ,#pragma omp parallel for,32,32,threads,balanced,0.96362,269.9523358350301
8,40, ,#pragma omp parallel for,256,96,sockets,balanced,0.9641,269.9523357219546
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,cores,balanced,1.09749,269.37017610930275
8,80, ,#pragma omp parallel for,2,32,cores,balanced,0.961685,268.0257015812265
8,40, ,#pragma omp parallel for,32,32,sockets,balanced,0.964115,266.1295613243456
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,sockets,balanced,1.097655,264.69994616723534
8,80, ,#pragma omp parallel for,32,96,sockets,balanced,0.960985,261.3092387769739
8,200, ,#pragma omp parallel for,16,32,sockets,balanced,0.961055,259.79296163075315
8,200, ,#pragma omp parallel for,16,32,sockets,balanced,0.9615100000000001,259.79296163075315
8,200, ,#pragma omp parallel for,32,16,sockets,balanced,0.96026,259.7929613328041
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,sockets,balanced,0.963815,256.9295324301207
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,sockets,balanced,0.96226,255.76813917101117
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,sockets,balanced,0.9621500000000001,255.74563747728035
8,64, ,#pragma omp parallel for,8,8,threads,balanced,0.9611149999999999,251.54745692001111
8,64, ,#pragma omp parallel for,16,128,sockets,balanced,0.9626250000000001,251.414220308759
8,64, ,#pragma omp parallel for,16,2,threads,balanced,0.9619949999999999,250.96860655979066
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,cores,balanced,0.965955,241.2056666271531
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,sockets,balanced,0.96298,239.90140036132584
8,80,#pragma clang loop unrolling full, ,4,96,sockets,balanced,0.96203,238.90796793473328
8,80, ,#pragma omp parallel for,96,4,cores,balanced,0.960475,235.96769016979522
8,64, ,#pragma omp parallel for,16,64,threads,balanced,0.9634199999999999,233.66997562437422
8,80, ,#pragma omp parallel for,96,8,cores,balanced,0.962115,233.57398931859478
7,128, ,#pragma omp parallel for,64,8,cores,balanced,1.095465,233.3177005874633
8,40, ,#pragma omp parallel for,16,32,threads,balanced,0.963795,232.94481847127645
8,80, ,#pragma omp parallel for,16,8,threads,balanced,0.9614199999999999,232.39364789791074
8,128, ,#pragma omp parallel for,96,32,cores,balanced,0.961185,223.91573215183746
8,80, ,#pragma omp parallel for,32,2,threads,balanced,0.961255,223.4679333815909
8,80, ,#pragma omp parallel for,32,2,threads,balanced,0.9620500000000001,223.4679333815909
8,80,#pragma clang loop unrolling full, ,2,96,sockets,balanced,0.96211,223.46793315002262
8,64, ,#pragma omp parallel for,8,4,threads,balanced,0.96293,223.14762949163884
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,sockets,balanced,0.962275,219.185604697388
8,40, ,#pragma omp parallel for,16,2,sockets,balanced,0.96346,216.7382676849757
8,40, ,#pragma omp parallel for,8,4,sockets,balanced,0.9641299999999999,214.6244557687321
7,160, ,#pragma omp parallel for,64,16,cores,balanced,1.095945,214.31525432516466
7,160, ,#pragma omp parallel for,64,16,cores,balanced,1.09364,214.31525432516466
7,160, ,#pragma omp parallel for,64,16,cores,balanced,1.09502,214.31525432516466
