p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
4,200,#pragma clang loop unrolling full, ,64,96,cores,explicit,2.393315,2153.0322897434235
7,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,cores,none,1.351495,2173.0324201583862
7,80, ,#pragma omp parallel for,64,16,threads,explicit,1.2989600000000001,2191.0310859680176
8,160, , ,96,16,sockets,balanced,1.463105,2209.361337184906
5,40,#pragma clang loop unrolling full, ,256,4,sockets,balanced,1.56243,2229.0318281650543
5,80,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,cores,none,1.8489149999999999,2249.0319187641144
7,200,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,sockets,scatter,1.2970549999999998,2267.486533641815
3,160, ,#pragma omp parallel for,2,96,cores,scatter,3.15876,2293.031373500824
2,20,#pragma clang loop unrolling full, ,96,8,cores,none,4.729,2321.1975269317627
6,20,#pragma clang loop unrolling full, ,32,16,threads,disabled,1.48631,2341.032574415207
3,10,#pragma clang loop unrolling full,#pragma omp parallel for,4,96,sockets,explicit,3.12353,2365.0320451259613
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,2,32,threads,compact,1.5334349999999999,2385.0320720672607
5,20,#pragma clang loop unrolling full,#pragma omp parallel for,2,64,cores,none,1.88543,2405.031080722809
4,20,#pragma clang loop unrolling full, ,128,96,threads,balanced,1.96926,2425.0311591625214
3,200,#pragma clang loop unrolling full, ,64,8,threads,none,2.893555,2449.031219959259
7,160, ,#pragma omp parallel for,64,96,sockets,explicit,1.2917049999999999,2469.0321040153503
2,128, ,#pragma omp parallel for,16,8,cores,compact,3.9006800000000004,2495.4029579162598
2,20, , ,2,128,sockets,disabled,4.70676,2525.0312147140503
3,100,#pragma clang loop unrolling full, ,2,64,cores,balanced,3.1132150000000003,2549.0310351848602
7,80,#pragma clang loop unrolling full, ,32,2,threads,compact,2.001355,2569.0311670303345
5,100, , ,8,128,threads,scatter,1.857195,2589.0311160087585
5,20, ,#pragma omp parallel for,2,2,sockets,explicit,1.9045,2609.031182527542
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,sockets,scatter,1.1671900000000002,2627.030922651291
3,10,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,sockets,none,3.088905,2651.0318961143494
5,20,#pragma clang loop unrolling full, ,96,8,cores,disabled,1.9074849999999999,2671.0473732948303
7,40, ,#pragma omp parallel for,256,32,threads,disabled,1.295185,2689.031681060791
7,200,#pragma clang loop unrolling full,#pragma omp parallel for,2,64,cores,explicit,1.27784,2707.4043266773224
6,200, , ,8,2,threads,scatter,1.539085,2727.0306811332703
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,threads,disabled,1.17254,2745.0307762622833
2,200,#pragma clang loop unrolling full, ,16,64,threads,balanced,3.91438,2773.030957221985
6,100,#pragma clang loop unrolling full, ,2,256,sockets,balanced,1.34668,2791.402034521103
5,100, , ,96,96,sockets,explicit,1.778195,2811.030616760254
4,10,#pragma clang loop unrolling full,#pragma omp parallel for,256,16,sockets,scatter,2.3504,2833.031179189682
2,160,#pragma clang loop unrolling full, ,128,64,cores,scatter,4.62887,2861.0313806533813
8,160, , ,8,256,cores,explicit,1.1606800000000002,2879.0320971012115
5,100, , ,32,16,cores,none,1.94272,2899.032949447632
5,160,#pragma clang loop unrolling full, ,64,128,threads,balanced,2.37209,2921.0317187309265
8,128, ,#pragma omp parallel for,256,8,sockets,explicit,1.16201,2939.1962611675262
2,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,none,4.577195,2969.0316700935364
6,160, , ,8,32,threads,explicit,1.539825,2989.0322885513306
8,10, ,#pragma omp parallel for,8,256,sockets,balanced,1.0049350000000001,3007.0312621593475
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,sockets,disabled,1.144105,3025.0306961536407
8,20,#pragma clang loop unrolling full, ,64,32,threads,disabled,1.171065,3043.0320394039154
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,none,1.127105,3061.032224178314
2,80, ,#pragma omp parallel for,32,2,cores,balanced,3.91742,3087.0320756435394
3,64,#pragma clang loop unrolling full, ,128,32,cores,compact,2.600425,3109.237993001938
3,20, , ,128,96,sockets,balanced,2.6201049999999997,3131.030846595764
3,160, , ,256,128,threads,none,3.045005,3155.032299757004
7,80, ,#pragma omp parallel for,32,256,cores,compact,1.3423150000000001,3175.0322592258453
8,200, ,#pragma omp parallel for,256,8,cores,balanced,1.3695249999999999,3195.0308299064636
3,200, , ,4,8,threads,scatter,3.222255,3219.0325083732605
7,128, ,#pragma omp parallel for,2,96,cores,compact,1.5453199999999998,3239.0313069820404
2,64,#pragma clang loop unrolling full, ,16,2,cores,explicit,4.679535,3269.0323045253754
3,200,#pragma clang loop unrolling full, ,2,4,threads,explicit,2.9017549999999996,3291.526533603668
8,80, ,#pragma omp parallel for,16,2,cores,compact,1.48142,3311.0308198928833
2,80, ,#pragma omp parallel for,32,64,sockets,explicit,4.16249,3339.0323252677917
5,40, , ,96,4,sockets,scatter,1.887905,3359.0311136245728
3,80, ,#pragma omp parallel for,8,256,threads,compact,2.688645,3383.0311353206635
4,80, , ,16,4,threads,explicit,2.25959,3405.031816005707
8,200, , ,2,128,threads,scatter,1.1533950000000002,3423.032018184662
5,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,sockets,none,1.902795,3443.0320925712585
5,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,cores,balanced,1.638985,3463.03116607666
3,40, , ,2,16,cores,balanced,2.85751,3487.0320501327515
6,10, ,#pragma omp parallel for,256,32,threads,none,1.616155,3507.030901670456
