input,p0,p1,p2,p3,p4,p5,objective,elapsed_sec
1000000,42,cores,close,#pragma omp parallel for, ,"schedule(static,2)",0.533415,877.1940689086914
1000000,16,sockets,master, ,simd,"schedule(static,16)",0.457155,885.6944165229797
1000000,42,cores,spread,#pragma omp parallel for, ,"schedule(static,32)",0.55342,894.3615696430206
1000000,2,cores,master,#pragma omp parallel for,simd,"schedule(static,32)",0.51122,902.4598751068115
1000000,16,cores,spread, ,simd,"schedule(static,16)",0.456525,910.2773354053497
1000000,32,cores,spread, ,simd,"schedule(static,1)",0.459425,917.9895787239075
1000000,2,cores,close, , , ,0.45377,925.7762718200684
1000000,8,sockets,master, ,simd,"schedule(static,1)",0.45360500000000004,933.5292115211487
1000000,42,threads,close,#pragma omp parallel for, , ,0.524375,942.0609121322632
1000000,4,sockets,close,#pragma omp parallel for,simd,"schedule(static,4)",0.50225,950.2250845432281
1000000,16,threads,master, , ,"schedule(static,1)",0.45274,958.1493308544159
1000000,21,threads,master, ,simd,"schedule(static,8)",0.453245,965.8674619197845
1000000,16,cores,master, , ,"schedule(static,1)",0.453135,973.5006973743439
1000000,8,threads,master,#pragma omp parallel for,simd,"schedule(static,16)",0.5392399999999999,981.9846425056458
1000000,21,sockets,master, ,simd,"schedule(static,8)",0.47350000000000003,989.8777742385864
1000000,21,threads,spread, ,simd,"schedule(static,16)",0.45694,997.8164391517639
1000000,2,sockets,close,#pragma omp parallel for,simd, ,0.48629500000000003,1005.7275238037109
1000000,8,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",0.541045,1014.1845972537994
1000000,16,cores,close, ,simd,"schedule(static,2)",0.47097500000000003,1022.2139570713043
1000000,32,cores,spread,#pragma omp parallel for, ,"schedule(static,8)",0.524905,1031.0783615112305
1000000,32,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",0.52312,1039.6005718708038
1000000,42,threads,spread,#pragma omp parallel for,simd,"schedule(static,2)",0.5274099999999999,1048.277279138565
1000000,2,threads,spread,#pragma omp parallel for, ,"schedule(static,32)",0.4976,1056.3704209327698
1000000,16,sockets,master,#pragma omp parallel for,simd, ,0.527555,1065.8342397212982
1000000,4,sockets,master, , ,"schedule(static,2)",0.45543,1073.5261449813843
1000000,32,cores,close,#pragma omp parallel for, ,"schedule(static,1)",0.52396,1082.1797771453857
1000000,2,sockets,spread, ,simd,"schedule(static,16)",0.45495,1089.9859879016876
1000000,8,sockets,master, , ,"schedule(static,2)",0.456325,1097.8530659675598
1000000,32,sockets,spread,#pragma omp parallel for,simd,"schedule(static,32)",0.530705,1106.690841436386
1000000,42,cores,master, ,simd,"schedule(static,8)",0.47222,1114.3733801841736
1000000,16,sockets,master,#pragma omp parallel for, , ,0.53111,1123.0066223144531
1000000,4,sockets,close,#pragma omp parallel for, ,"schedule(static,32)",0.53504,1131.384259223938
1000000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",0.4906,1139.6646904945374
1000000,2,threads,master,#pragma omp parallel for, ,"schedule(static,2)",0.488095,1147.5975725650787
1000000,8,sockets,close, , , ,0.452585,1155.35231757164
1000000,16,threads,master,#pragma omp parallel for, ,"schedule(static,32)",0.528775,1163.7334396839142
1000000,2,threads,spread, ,simd,"schedule(static,16)",0.460745,1171.6829872131348
1000000,16,threads,spread, , ,"schedule(static,1)",0.45445,1179.3854446411133
1000000,21,threads,spread,#pragma omp parallel for,simd, ,0.52463,1188.0298585891724
